text,department
Need better sports equipment,Education
Not enough teachers for subjects,Education
Requesting new books for students,Education
School lacks proper benches and blackboards,Education
Pipeline burst in the area,Water
Pipeline burst in the area,Water
No water supply in the morning,Water
No water supply in the morning,Water
Electric shock from street pole,Electricity
Drinking water smells bad,Water
Teachers are often absent in school,Education
Requesting new books for students,Education
Fans and lights not working in classroom,Education
Water bill is incorrect,Water
No water for last two days,Water
School building needs renovation,Education
No internet for online classes,Education
Low voltage issue damaging appliances,Electricity
Overhead wires sparking,Electricity
No water for last two days,Water
Water leakage near my house,Water
No water for last two days,Water
Drainage water mixing with drinking water,Water
School building needs renovation,Education
School lacks proper benches and blackboards,Education
Low voltage issue damaging appliances,Electricity
Fans and lights not working in classroom,Education
Street lights are not working,Electricity
No water for last two days,Water
Not enough teachers for subjects,Education
Power line fallen on the road,Electricity
Water tank not cleaned,Water
School building needs renovation,Education
Requesting new books for students,Education
No power in my area since yesterday,Electricity
Not enough teachers for subjects,Education
Midday meals are not served properly,Education
Fans and lights not working in classroom,Education
Low water pressure,Water
Low voltage issue damaging appliances,Electricity
Frequent power cuts every evening,Electricity
No proper toilets in the government school,Education
Requesting new books for students,Education
School building needs renovation,Education
Water leakage near my house,Water
Low voltage issue damaging appliances,Electricity
Low voltage issue damaging appliances,Electricity
No power in my area since yesterday,Electricity
Teachers are often absent in school,Education
Pipeline burst in the area,Water
Transformer making noise,Electricity
Drainage water mixing with drinking water,Water
Fans and lights not working in classroom,Education
Requesting new books for students,Education
Water tank not cleaned,Water
Not enough teachers for subjects,Education
Need better sports equipment,Education
Overhead wires sparking,Electricity
No internet for online classes,Education
Electric shock from street pole,Electricity
Not enough teachers for subjects,Education
Low water pressure,Water
Water bill is incorrect,Water
Water tank not cleaned,Water
Street lights are not working,Electricity
Low water pressure,Water
Need better sports equipment,Education
No proper toilets in the government school,Education
School lacks proper benches and blackboards,Education
Power line fallen on the road,Electricity
Water bill is incorrect,Water
Water tank not cleaned,Water
Teachers are often absent in school,Education
Teachers are often absent in school,Education
School lacks proper benches and blackboards,Education
Not enough teachers for subjects,Education
No internet for online classes,Education
Drainage water mixing with drinking water,Water
School building needs renovation,Education
Street lights are not working,Electricity
Power line fallen on the road,Electricity
No water for last two days,Water
Water tank not cleaned,Water
Frequent power cuts every evening,Electricity
Frequent power cuts every evening,Electricity
Teachers are often absent in school,Education
Pipeline burst in the area,Water
Need better sports equipment,Education
Water tank not cleaned,Water
Water bill is incorrect,Water
Frequent power cuts every evening,Electricity
Low voltage issue damaging appliances,Electricity
Meter not working properly,Electricity
No water for last two days,Water
Water tank not cleaned,Water
Water leakage near my house,Water
Street lights are not working,Electricity
Water bill is incorrect,Water
Water tank not cleaned,Water
Teachers are often absent in school,Education
School building needs renovation,Education
Midday meals are not served properly,Education
Drinking water smells bad,Water
Low water pressure,Water
Midday meals are not served properly,Education
Drainage water mixing with drinking water,Water
No proper toilets in the government school,Education
Water leakage near my house,Water
Transformer making noise,Electricity
Not enough teachers for subjects,Education
No internet for online classes,Education
No water supply in the morning,Water
Teachers are often absent in school,Education
Street lights are not working,Electricity
Dirty water from the tap,Water
No internet for online classes,Education
School building needs renovation,Education
Fans and lights not working in classroom,Education
No proper toilets in the government school,Education
Meter not working properly,Electricity
No power in my area since yesterday,Electricity
Fans and lights not working in classroom,Education
Drinking water smells bad,Water
Overhead wires sparking,Electricity
Water leakage near my house,Water
No power in my area since yesterday,Electricity
School building needs renovation,Education
Water bill is incorrect,Water
Fans and lights not working in classroom,Education
Electricity bill is too high,Electricity
Electric shock from street pole,Electricity
No water supply in the morning,Water
Frequent power cuts every evening,Electricity
Water tank not cleaned,Water
Requesting new books for students,Education
Street lights are not working,Electricity
Low water pressure,Water
Midday meals are not served properly,Education
No water supply in the morning,Water
Pipeline burst in the area,Water
School lacks proper benches and blackboards,Education
Midday meals are not served properly,Education
Frequent power cuts every evening,Electricity
Requesting new books for students,Education
No power in my area since yesterday,Electricity
Meter not working properly,Electricity
No power in my area since yesterday,Electricity
Frequent power cuts every evening,Electricity
Low water pressure,Water
No proper toilets in the government school,Education
Drinking water smells bad,Water
School building needs renovation,Education
Water leakage near my house,Water
Drinking water smells bad,Water
Water leakage near my house,Water
School building needs renovation,Education
Water bill is incorrect,Water
Midday meals are not served properly,Education
Meter not working properly,Electricity
Water tank not cleaned,Water
Transformer making noise,Electricity
School lacks proper benches and blackboards,Education
Transformer making noise,Electricity
Power line fallen on the road,Electricity
Water leakage near my house,Water
No water supply in the morning,Water
Not enough teachers for subjects,Education
Drainage water mixing with drinking water,Water
No proper toilets in the government school,Education
Fans and lights not working in classroom,Education
Pipeline burst in the area,Water
Drinking water smells bad,Water
Electric shock from street pole,Electricity
Water bill is incorrect,Water
School lacks proper benches and blackboards,Education
No proper toilets in the government school,Education
Water bill is incorrect,Water
Water bill is incorrect,Water
Electricity bill is too high,Electricity
Transformer making noise,Electricity
No power in my area since yesterday,Electricity
No water for last two days,Water
Electricity bill is too high,Electricity
Water leakage near my house,Water
Pipeline burst in the area,Water
Dirty water from the tap,Water
Not enough teachers for subjects,Education
Requesting new books for students,Education
School building needs renovation,Education
Water tank not cleaned,Water
Water tank not cleaned,Water
Electric shock from street pole,Electricity
Transformer making noise,Electricity
Pipeline burst in the area,Water
Electric shock from street pole,Electricity
Dirty water from the tap,Water
Requesting new books for students,Education
Electricity bill is too high,Electricity
Midday meals are not served properly,Education
No water supply in the morning,Water
No water for last two days,Water
Meter not working properly,Electricity
Power line fallen on the road,Electricity
No water supply in the morning,Water
Low water pressure,Water
No proper toilets in the government school,Education
Transformer making noise,Electricity
Not enough teachers for subjects,Education
Power line fallen on the road,Electricity
Street lights are not working,Electricity
No power in my area since yesterday,Electricity
No proper toilets in the government school,Education
Midday meals are not served properly,Education
Overhead wires sparking,Electricity
Need better sports equipment,Education
Drainage water mixing with drinking water,Water
Midday meals are not served properly,Education
Street lights are not working,Electricity
Power line fallen on the road,Electricity
Street lights are not working,Electricity
Water leakage near my house,Water
Frequent power cuts every evening,Electricity
Drinking water smells bad,Water
Pipeline burst in the area,Water
Midday meals are not served properly,Education
Electric shock from street pole,Electricity
Midday meals are not served properly,Education
Electricity bill is too high,Electricity
No power in my area since yesterday,Electricity
No power in my area since yesterday,Electricity
Pipeline burst in the area,Water
Transformer making noise,Electricity
Low voltage issue damaging appliances,Electricity
Street lights are not working,Electricity
Requesting new books for students,Education
Drinking water smells bad,Water
No water supply in the morning,Water
Fans and lights not working in classroom,Education
School lacks proper benches and blackboards,Education
Water bill is incorrect,Water
Drainage water mixing with drinking water,Water
Teachers are often absent in school,Education
Electricity bill is too high,Electricity
No proper toilets in the government school,Education
Teachers are often absent in school,Education
Drainage water mixing with drinking water,Water
Drinking water smells bad,Water
Electricity bill is too high,Electricity
Water bill is incorrect,Water
Teachers are often absent in school,Education
Water leakage near my house,Water
Electric shock from street pole,Electricity
Pipeline burst in the area,Water
Midday meals are not served properly,Education
Transformer making noise,Electricity
Dirty water from the tap,Water
Low water pressure,Water
Electricity bill is too high,Electricity
Electric shock from street pole,Electricity
No water supply in the morning,Water
Drinking water smells bad,Water
No proper toilets in the government school,Education
Water leakage near my house,Water
School building needs renovation,Education
Electricity bill is too high,Electricity
Overhead wires sparking,Electricity
Power line fallen on the road,Electricity
Drainage water mixing with drinking water,Water
Teachers are often absent in school,Education
Drinking water smells bad,Water
School building needs renovation,Education
Dirty water from the tap,Water
No water for last two days,Water
Teachers are often absent in school,Education
Midday meals are not served properly,Education
Requesting new books for students,Education
Not enough teachers for subjects,Education
Frequent power cuts every evening,Electricity
School building needs renovation,Education
Not enough teachers for subjects,Education
Electric shock from street pole,Electricity
Drinking water smells bad,Water
Need better sports equipment,Education
No internet for online classes,Education
Electric shock from street pole,Electricity
Water tank not cleaned,Water
School building needs renovation,Education
Fans and lights not working in classroom,Education
Low water pressure,Water
Not enough teachers for subjects,Education
Water bill is incorrect,Water
Transformer making noise,Electricity
Meter not working properly,Electricity
No water for last two days,Water
Dirty water from the tap,Water
Fans and lights not working in classroom,Education
School building needs renovation,Education
Power line fallen on the road,Electricity
School lacks proper benches and blackboards,Education
